,Assembly accession,ORFs,CAZymes,Peptidases,index,Merops orfs total
929,GCA_001662485.1,2814,84,,GCA_001662485.1,119
930,GCA_013042825.1,2135,65,,GCA_013042825.1,113
931,GCA_014219135.1,3852,108,,GCA_014219135.1,157
932,GCA_005885675.1,2797,65,,GCA_005885675.1,119
933,GCA_014220465.1,4428,96,,GCA_014220465.1,194
934,GCA_000190595.1,3299,98,,GCA_000190595.1,125
935,GCA_011524815.1,1142,20,,GCA_011524815.1,57
936,GCA_009870135.1,3681,112,,GCA_009870135.1,167
937,GCA_001853425.1,3667,105,,GCA_001853425.1,157
938,GCA_002705625.1,1075,20,,GCA_002705625.1,58
939,GCA_002302535.1,2196,72,,GCA_002302535.1,91
940,GCA_003483305.1,1958,38,,GCA_003483305.1,67
941,GCA_001439665.1,3625,178,,GCA_001439665.1,153
942,GCA_000971685.2,2445,56,,GCA_000971685.2,108
943,GCA_900115315.1,2396,87,,GCA_900115315.1,81
944,GCA_005869935.1,3001,85,,GCA_005869935.1,138
945,GCA_000686885.1,2941,54,,GCA_000686885.1,102
946,GCA_001675285.1,3998,111,,GCA_001675285.1,183
947,GCA_003455775.1,4756,76,,GCA_003455775.1,166
948,GCA_002414725.1,2922,54,,GCA_002414725.1,118
949,GCA_009664855.1,5070,245,,GCA_009664855.1,199
950,GCA_002995695.1,3827,108,,GCA_002995695.1,173
951,GCA_008386505.1,4442,113,,GCA_008386505.1,203
952,GCA_003105115.1,4415,207,,GCA_003105115.1,166
953,GCA_006778345.1,2394,55,,GCA_006778345.1,107
954,GCA_000769835.1,2733,46,,GCA_000769835.1,102
955,GCA_900142775.1,3504,254,,GCA_900142775.1,107
956,GCA_003860585.1,2978,50,,GCA_003860585.1,124
957,GCA_001280435.1,3317,142,,GCA_001280435.1,140
958,GCA_002452945.1,3528,128,,GCA_002452945.1,144
959,GCA_002482945.1,3255,72,,GCA_002482945.1,142
960,GCA_001642835.1,3273,100,,GCA_001642835.1,120
961,GCA_003269425.1,3375,103,,GCA_003269425.1,140
962,GCA_001971745.1,2824,83,,GCA_001971745.1,124
963,GCA_014218815.1,4348,94,,GCA_014218815.1,194
964,GCA_902705565.1,3012,41,,GCA_902705565.1,117
965,GCA_001673755.1,3695,100,,GCA_001673755.1,162
966,GCA_002708445.1,1439,20,,GCA_002708445.1,70
967,GCA_002426785.1,2210,48,,GCA_002426785.1,100
968,GCA_002530675.1,2718,63,,GCA_002530675.1,118
969,GCA_000971575.2,2494,56,,GCA_000971575.2,108
970,GCA_003634615.1,3359,73,,GCA_003634615.1,136
971,GCA_900129005.1,4055,198,,GCA_900129005.1,144
972,GCA_011316565.1,2955,55,,GCA_011316565.1,128
973,GCA_003057865.1,3356,86,,GCA_003057865.1,157
974,GCA_007997295.1,3275,75,,GCA_007997295.1,148
975,GCA_001999725.1,3334,98,,GCA_001999725.1,128
976,GCA_011526275.1,1521,25,,GCA_011526275.1,69
977,GCA_002833385.1,3002,83,,GCA_002833385.1,124
978,GCA_003246205.1,2157,63,,GCA_003246205.1,94
979,GCA_001428525.1,4709,238,,GCA_001428525.1,166
980,GCA_002862755.1,3331,90,,GCA_002862755.1,145
981,GCA_010468565.1,3522,77,,GCA_010468565.1,148
982,GCA_010119125.1,1413,19,,GCA_010119125.1,62
983,GCA_014219745.1,3647,112,,GCA_014219745.1,158
984,GCA_002384605.1,2733,51,,GCA_002384605.1,97
985,GCA_013373485.1,2939,32,,GCA_013373485.1,147
986,GCA_001853405.1,3496,106,,GCA_001853405.1,152
987,GCA_001641405.1,3747,43,,GCA_001641405.1,168
988,GCA_013283775.1,3633,95,,GCA_013283775.1,153
989,GCA_004366715.1,2862,86,,GCA_004366715.1,127
990,GCA_900101855.1,4532,241,,GCA_900101855.1,169
991,GCA_002943655.1,4399,102,,GCA_002943655.1,198
992,GCA_003944795.1,2509,57,,GCA_003944795.1,108
993,GCA_009832745.1,2966,128,,GCA_009832745.1,123
994,GCA_002389405.1,1479,27,,GCA_002389405.1,80
995,GCA_002453015.1,2605,46,,GCA_002453015.1,115
996,GCA_011762155.1,3071,166,,GCA_011762155.1,85
997,GCA_009995145.1,2714,84,,GCA_009995145.1,110
998,GCA_003584135.1,3891,98,,GCA_003584135.1,181
999,GCA_003443635.1,3043,53,,GCA_003443635.1,202
1000,GCA_900638245.1,3027,65,,GCA_900638245.1,136
1001,GCA_000447375.1,3637,104,,GCA_000447375.1,162
1002,GCA_000952855.1,3067,55,,GCA_000952855.1,126
1003,GCA_000769445.1,4329,112,,GCA_000769445.1,182
1004,GCA_014156605.1,3116,80,,GCA_014156605.1,142
1005,GCA_900683625.1,3414,81,,GCA_900683625.1,130
1006,GCA_002696985.1,3524,103,,GCA_002696985.1,117
1007,GCA_900129405.1,2760,66,,GCA_900129405.1,115
1008,GCA_007997075.1,3274,110,,GCA_007997075.1,129
1009,GCA_002217245.1,2750,64,,GCA_002217245.1,120
1010,GCA_002390665.1,1334,33,,GCA_002390665.1,72
1011,GCA_002120225.1,2920,43,,GCA_002120225.1,132
1012,GCA_900299485.1,5305,95,,GCA_900299485.1,283
1013,GCA_006386525.1,3188,232,,GCA_006386525.1,101
1014,GCA_900460495.1,2112,47,,GCA_900460495.1,99
1015,GCA_009995175.1,2808,50,,GCA_009995175.1,122
1016,GCA_002457075.1,809,12,,GCA_002457075.1,47
1017,GCA_013249065.1,3386,123,,GCA_013249065.1,134
1018,GCA_000265465.1,2330,74,,GCA_000265465.1,79
1019,GCA_000737785.1,4351,107,,GCA_000737785.1,184
1020,GCA_002716225.1,2705,62,,GCA_002716225.1,123
1021,GCA_007827365.1,3221,80,,GCA_007827365.1,125
1022,GCA_003014895.1,3865,108,,GCA_003014895.1,176
1023,GCA_013139515.1,2538,53,,GCA_013139515.1,113
1024,GCA_002171295.2,1249,38,,GCA_002171295.2,57
1025,GCA_003070725.1,4597,231,,GCA_003070725.1,179
1026,GCA_002441545.1,3409,84,,GCA_002441545.1,124
1027,GCA_002966125.1,2871,81,,GCA_002966125.1,124
1028,GCA_002899945.2,5091,96,,GCA_002899945.2,246
1029,GCA_002022125.1,3842,109,,GCA_002022125.1,176
1030,GCA_013276225.1,2204,73,,GCA_013276225.1,89
1031,GCA_900115055.1,4753,95,,GCA_900115055.1,230
1032,GCA_002023135.1,3778,110,,GCA_002023135.1,168
1033,GCA_007923165.1,5148,111,,GCA_007923165.1,184
1034,GCA_003966335.1,2607,58,,GCA_003966335.1,113
1035,GCA_003254585.1,4482,196,,GCA_003254585.1,167
1036,GCA_004211875.1,1593,35,,GCA_004211875.1,80
1037,GCA_001718075.1,3667,105,,GCA_001718075.1,157
1038,GCA_000963865.1,3048,68,,GCA_000963865.1,123
1039,GCA_900446855.1,4520,83,,GCA_900446855.1,208
1040,GCA_902168145.1,5184,273,,GCA_902168145.1,183
1041,GCA_005771495.1,4360,107,,GCA_005771495.1,166
1042,GCA_000689515.1,3688,108,,GCA_000689515.1,164
1043,GCA_009901575.1,3591,69,,GCA_009901575.1,225
1044,GCA_002862805.1,2524,34,,GCA_002862805.1,96
1045,GCA_004104045.1,3318,171,,GCA_004104045.1,143
1046,GCA_002477585.1,1398,30,,GCA_002477585.1,70
1047,GCA_900186805.1,2382,55,,GCA_900186805.1,107
1048,GCA_003858535.1,2902,36,,GCA_003858535.1,98
1049,GCA_900450525.1,4499,201,,GCA_900450525.1,168
1050,GCA_001637325.1,3043,53,,GCA_001637325.1,148
1051,GCA_008692195.1,3598,119,,GCA_008692195.1,118
1052,GCA_002831665.1,3245,80,,GCA_002831665.1,139
1053,GCA_004916905.1,4193,94,,GCA_004916905.1,188
1054,GCA_009711045.1,3064,31,,GCA_009711045.1,124
1055,GCA_003973375.1,1727,61,,GCA_003973375.1,81
1056,GCA_900113805.1,2828,92,,GCA_900113805.1,120
1057,GCA_003208535.1,5191,236,,GCA_003208535.1,207
1058,GCA_001800975.1,3154,84,,GCA_001800975.1,140
1059,GCA_001761465.1,3544,265,,GCA_001761465.1,124
1060,GCA_013213835.1,3165,92,,GCA_013213835.1,140
1061,GCA_007997375.1,3636,66,,GCA_007997375.1,161
1062,GCA_014220565.1,4348,94,,GCA_014220565.1,194
1063,GCA_002716005.1,3228,112,,GCA_002716005.1,123
1064,GCA_003688345.1,4658,225,,GCA_003688345.1,184
1065,GCA_013214815.1,2816,67,,GCA_013214815.1,122
1066,GCA_902705375.1,2791,39,,GCA_902705375.1,116
1067,GCA_001637185.1,3254,81,,GCA_001637185.1,142
1068,GCA_004151245.1,3400,88,,GCA_004151245.1,136
1069,GCA_002738605.1,3870,109,,GCA_002738605.1,176
1070,GCA_900186565.1,2447,56,,GCA_900186565.1,106
1071,GCA_900114945.1,3164,97,,GCA_900114945.1,138
1072,GCA_900101765.1,2911,94,,GCA_900101765.1,128
1073,GCA_900157015.1,4206,107,,GCA_900157015.1,178
1074,GCA_013402795.1,3627,81,,GCA_013402795.1,156
1075,GCA_900186345.1,2407,55,,GCA_900186345.1,107
1076,GCA_003386195.1,2972,136,,GCA_003386195.1,115
1077,GCA_001686945.1,2471,50,,GCA_001686945.1,100
1078,GCA_002204835.1,3019,57,,GCA_002204835.1,125
1079,GCA_900156015.1,4148,91,,GCA_900156015.1,182
1080,GCA_900239185.1,2587,24,,GCA_900239185.1,105
1081,GCA_000971735.2,2435,56,,GCA_000971735.2,107
1082,GCA_900129665.1,3513,93,,GCA_900129665.1,159
1083,GCA_900142615.1,4207,99,,GCA_900142615.1,188
1084,GCA_002325485.1,3005,51,,GCA_002325485.1,108
1085,GCA_900105135.1,2820,104,,GCA_900105135.1,134
1086,GCA_000729985.1,2846,57,,GCA_000729985.1,126
1087,GCA_003260195.1,4100,265,,GCA_003260195.1,136
1088,GCA_002314375.1,4346,95,,GCA_002314375.1,194
1089,GCA_900111075.1,3545,84,,GCA_900111075.1,156
1090,GCA_001975575.1,3251,139,,GCA_001975575.1,143
1091,GCA_003353425.1,3024,56,,GCA_003353425.1,125
1092,GCA_011049845.1,3096,85,,GCA_011049845.1,132
1093,GCA_001800925.1,2437,53,,GCA_001800925.1,100
1094,GCA_014219225.1,3844,108,,GCA_014219225.1,158
1095,GCA_000982575.1,3629,105,,GCA_000982575.1,166
1096,GCA_002951395.1,3657,113,,GCA_002951395.1,169
1097,GCA_900618145.1,2270,89,,GCA_900618145.1,83
1098,GCA_002382825.1,1405,31,,GCA_002382825.1,79
1099,GCA_002117125.1,3141,85,,GCA_002117125.1,109
1100,GCA_002320285.1,2926,35,,GCA_002320285.1,128
1101,GCA_003709475.1,3588,85,,GCA_003709475.1,153
1102,GCA_010365135.1,3136,149,,GCA_010365135.1,112
1103,GCA_014219765.1,3804,115,,GCA_014219765.1,167
1104,GCA_013394595.1,3938,132,,GCA_013394595.1,157
1105,GCA_003476525.1,1654,34,,GCA_003476525.1,82
1106,GCA_000801635.1,2830,55,,GCA_000801635.1,121
1107,GCA_001936575.1,4629,120,,GCA_001936575.1,183
1108,GCA_004119415.1,5040,86,,GCA_004119415.1,216
1109,GCA_000240075.2,2724,63,,GCA_000240075.2,121
1110,GCA_006716485.1,4637,116,,GCA_006716485.1,213
1111,GCA_000495995.1,4025,106,,GCA_000495995.1,169
1112,GCA_002710605.1,2574,46,,GCA_002710605.1,112
1113,GCA_011316625.1,2801,65,,GCA_011316625.1,117
1114,GCA_003932955.1,2520,70,,GCA_003932955.1,94
1115,GCA_900186515.1,2270,53,,GCA_900186515.1,89
1116,GCA_002293985.1,2877,45,,GCA_002293985.1,130
1117,GCA_001424105.1,3975,109,,GCA_001424105.1,155
1118,GCA_002376925.1,1594,43,,GCA_002376925.1,74
1119,GCA_009865695.1,3727,103,,GCA_009865695.1,171
1120,GCA_001418015.1,3530,80,,GCA_001418015.1,146
1121,GCA_014239275.1,1469,31,,GCA_014239275.1,79
1122,GCA_900188355.1,3384,164,,GCA_900188355.1,148
1123,GCA_014220695.1,4598,94,,GCA_014220695.1,208
1124,GCA_013042925.1,2630,55,,GCA_013042925.1,108
1125,GCA_002217405.1,2323,57,,GCA_002217405.1,106
1126,GCA_002221975.1,5197,244,,GCA_002221975.1,183
1127,GCA_900106565.1,3456,184,,GCA_900106565.1,119
1128,GCA_002916795.1,2982,56,,GCA_002916795.1,124
1129,GCA_004104115.1,3727,172,,GCA_004104115.1,154
1130,GCA_002384715.1,1317,30,,GCA_002384715.1,55
1131,GCA_008329705.1,4029,128,,GCA_008329705.1,148
1132,GCA_002023405.1,3755,106,,GCA_002023405.1,182
1133,GCA_002023765.1,3992,106,,GCA_002023765.1,176
1134,GCA_001521745.1,3942,106,,GCA_001521745.1,178
1135,GCA_900446865.1,4565,92,,GCA_900446865.1,167
1136,GCA_900186365.1,2518,57,,GCA_900186365.1,109
1137,GCA_012272855.1,3731,129,,GCA_012272855.1,136
1138,GCA_002954355.1,2764,68,,GCA_002954355.1,104
1139,GCA_010993815.1,3680,119,,GCA_010993815.1,160
1140,GCA_000300875.1,3130,120,,GCA_000300875.1,127
1141,GCA_002703065.1,940,16,,GCA_002703065.1,37
1142,GCA_013042715.1,2246,56,,GCA_013042715.1,103
1143,GCA_002216065.1,4432,103,,GCA_002216065.1,218
1144,GCA_002421065.1,4706,95,,GCA_002421065.1,200
1145,GCA_003815855.1,5227,101,,GCA_003815855.1,207
1146,GCA_002364255.1,4572,169,,GCA_002364255.1,157
1147,GCA_007923145.1,5421,122,,GCA_007923145.1,200
1148,GCA_001873105.1,2328,54,,GCA_001873105.1,111
1149,GCA_000733945.1,3527,144,,GCA_000733945.1,136
1150,GCA_014270105.1,3398,133,,GCA_014270105.1,132
1151,GCA_002017935.1,4906,256,,GCA_002017935.1,164
1152,GCA_003633595.1,4876,229,,GCA_003633595.1,188
1153,GCA_014042165.1,2563,57,,GCA_014042165.1,115
1154,GCA_013294005.1,3500,99,,GCA_013294005.1,132
1155,GCA_900129745.1,2810,67,,GCA_900129745.1,136
1156,GCA_002017945.1,3488,98,,GCA_002017945.1,146
1157,GCA_900129385.1,3749,127,,GCA_900129385.1,150
1158,GCA_001424585.1,3111,87,,GCA_001424585.1,133
1159,GCA_002325685.1,3211,129,,GCA_002325685.1,130
1160,GCA_002705385.1,1272,20,,GCA_002705385.1,54
1161,GCA_000495955.1,4023,106,,GCA_000495955.1,169
1162,GCA_010906935.1,2915,83,,GCA_010906935.1,124
1163,GCA_004363005.1,3105,32,,GCA_004363005.1,146
1164,GCA_000403785.1,3243,82,,GCA_000403785.1,143
1165,GCA_013404055.1,3561,105,,GCA_013404055.1,120
1166,GCA_000023725.1,2511,91,,GCA_000023725.1,113
1167,GCA_002304765.1,3676,128,,GCA_002304765.1,142
1168,GCA_014219105.1,3726,107,,GCA_014219105.1,155
1169,GCA_009360815.1,3415,116,,GCA_009360815.1,140
1170,GCA_001677955.1,4264,86,,GCA_001677955.1,161
1171,GCA_013042255.1,1815,33,,GCA_013042255.1,87
1172,GCA_004151235.1,4442,241,,GCA_004151235.1,172
1173,GCA_900610245.1,2413,55,,GCA_900610245.1,109
1174,GCA_009690655.1,1920,40,,GCA_009690655.1,86
1175,GCA_003217415.1,5187,236,,GCA_003217415.1,207
1176,GCA_002699265.1,1949,37,,GCA_002699265.1,85
1177,GCA_008329825.1,5046,239,,GCA_008329825.1,181
1178,GCA_003008425.1,2629,65,,GCA_003008425.1,114
1179,GCA_003426875.1,2968,131,,GCA_003426875.1,134
1180,GCA_001865835.1,3555,44,,GCA_001865835.1,133
1181,GCA_004119445.1,4701,97,,GCA_004119445.1,212
1182,GCA_002365615.1,3080,55,,GCA_002365615.1,117
1183,GCA_002256285.1,3326,100,,GCA_002256285.1,125
1184,GCA_003984665.1,2239,28,,GCA_003984665.1,103
1185,GCA_003984825.1,2915,65,,GCA_003984825.1,133
1186,GCA_002340165.1,4841,97,,GCA_002340165.1,208
1187,GCA_002943675.1,3076,82,,GCA_002943675.1,136
1188,GCA_002384895.1,2975,52,,GCA_002384895.1,119
1189,GCA_000332115.1,3456,92,,GCA_000332115.1,125
1190,GCA_900141855.1,4187,184,,GCA_900141855.1,151
1191,GCA_002807055.1,3094,145,,GCA_002807055.1,121
1192,GCA_004349355.1,3859,259,,GCA_004349355.1,118
1193,GCA_902804485.1,4703,111,,GCA_902804485.1,204
1194,GCA_000378485.1,3966,149,,GCA_000378485.1,148
1195,GCA_011526365.1,1726,33,,GCA_011526365.1,93
1196,GCA_002714865.1,2632,49,,GCA_002714865.1,130
1197,GCA_002171575.2,1229,13,,GCA_002171575.2,56
1198,GCA_014238425.1,3373,62,,GCA_014238425.1,194
1199,GCA_003433315.1,2395,55,,GCA_003433315.1,107
1200,GCA_009904105.1,2345,35,,GCA_009904105.1,86
1201,GCA_001632745.1,5303,170,,GCA_001632745.1,242
1202,GCA_000520835.1,4309,90,,GCA_000520835.1,190
1203,GCA_009914665.1,1855,28,,GCA_009914665.1,75
1204,GCA_002382495.1,1828,42,,GCA_002382495.1,84
1205,GCA_003815715.1,4769,90,,GCA_003815715.1,213
1206,GCA_003815615.1,3954,116,,GCA_003815615.1,148
1207,GCA_001670875.1,1926,39,,GCA_001670875.1,84
1208,GCA_004104055.1,3789,180,,GCA_004104055.1,152
1209,GCA_000378765.1,2774,52,,GCA_000378765.1,123
1210,GCA_004295795.1,3847,118,,GCA_004295795.1,157
1211,GCA_003425985.1,4023,251,,GCA_003425985.1,124
1212,GCA_011526285.1,1789,32,,GCA_011526285.1,88
1213,GCA_009725995.1,4295,163,,GCA_009725995.1,152
1214,GCA_002414635.1,2930,56,,GCA_002414635.1,124
1215,GCA_007845595.1,2210,31,,GCA_007845595.1,77
1216,GCA_900109075.1,3703,36,,GCA_900109075.1,143
1217,GCA_002294465.1,3584,106,,GCA_002294465.1,154
1218,GCA_011526265.1,1937,27,,GCA_011526265.1,81
1219,GCA_009674815.1,4267,223,,GCA_009674815.1,184
1220,GCA_003692615.1,2440,58,,GCA_003692615.1,108
1221,GCA_002455915.1,3548,97,,GCA_002455915.1,139
1222,GCA_002390455.1,1603,58,,GCA_002390455.1,69
1223,GCA_002954605.1,3384,123,,GCA_002954605.1,119
1224,GCA_013294075.1,3790,104,,GCA_013294075.1,137
1225,GCA_902705345.1,2991,39,,GCA_902705345.1,119
1226,GCA_003337215.1,2619,57,,GCA_003337215.1,109
1227,GCA_900106795.1,3082,44,,GCA_900106795.1,133
1228,GCA_002964975.1,2514,33,,GCA_002964975.1,97
1229,GCA_003391035.1,4373,91,,GCA_003391035.1,166
1230,GCA_013042425.1,1694,35,,GCA_013042425.1,68
1231,GCA_007830355.1,3059,80,,GCA_007830355.1,144
1232,GCA_900115145.1,3313,95,,GCA_900115145.1,128
1233,GCA_000425305.1,3577,65,,GCA_000425305.1,160
1234,GCA_001021975.1,4151,86,,GCA_001021975.1,190
1235,GCA_900156945.1,3645,97,,GCA_900156945.1,163
1236,GCA_900156995.1,3497,110,,GCA_900156995.1,163
1237,GCA_014220635.1,5462,94,,GCA_014220635.1,216
1238,GCA_900103215.1,4986,205,,GCA_900103215.1,179
1239,GCA_900101925.1,2313,57,,GCA_900101925.1,106
1240,GCA_002833365.1,3709,193,,GCA_002833365.1,149
1241,GCA_013042685.1,2311,64,,GCA_013042685.1,99
1242,GCA_009663485.1,2370,33,,GCA_009663485.1,85
1243,GCA_002294525.1,4684,111,,GCA_002294525.1,206
1244,GCA_003585975.1,2300,72,,GCA_003585975.1,92
1245,GCA_009926065.1,1795,45,,GCA_009926065.1,94
1246,GCA_004213605.1,1297,24,,GCA_004213605.1,62
1247,GCA_900115115.1,3342,32,,GCA_900115115.1,108
1248,GCA_013043175.1,2365,47,,GCA_013043175.1,105
1249,GCA_003455905.1,4182,90,,GCA_003455905.1,151
1250,GCA_013394615.1,3922,132,,GCA_013394615.1,158
1251,GCA_900092085.1,3797,110,,GCA_900092085.1,168
1252,GCA_004634195.1,2741,65,,GCA_004634195.1,115
1253,GCA_002364245.1,1702,26,,GCA_002364245.1,82
1254,GCA_003664185.1,3150,34,,GCA_003664185.1,151
1255,GCA_002303885.1,4685,215,,GCA_002303885.1,181
1256,GCA_002741945.1,3397,133,,GCA_002741945.1,156
1257,GCA_003931895.1,2599,69,,GCA_003931895.1,109
1258,GCA_014397245.1,4476,155,,GCA_014397245.1,153
1259,GCA_000430845.1,4030,119,,GCA_000430845.1,171
1260,GCA_002732565.1,1144,17,,GCA_002732565.1,57
1261,GCA_003385455.1,4626,104,,GCA_003385455.1,234
1262,GCA_002700155.1,3870,125,,GCA_002700155.1,151
1263,GCA_003337305.1,3180,92,,GCA_003337305.1,118
1264,GCA_009663585.1,2271,33,,GCA_009663585.1,86
1265,GCA_000426145.1,4529,211,,GCA_000426145.1,173
1266,GCA_014212065.1,2899,54,,GCA_014212065.1,129
1267,GCA_003096035.1,3600,94,,GCA_003096035.1,136
1268,GCA_011952225.1,3086,29,,GCA_011952225.1,133
1269,GCA_001005315.1,4714,76,,GCA_001005315.1,178
1270,GCA_003387355.1,3336,108,,GCA_003387355.1,136
1271,GCA_902705285.1,2942,40,,GCA_902705285.1,117
1272,GCA_004745595.1,3145,45,,GCA_004745595.1,142
1273,GCA_009826975.1,4431,236,,GCA_009826975.1,169
1274,GCA_003254745.1,3742,146,,GCA_003254745.1,144
1275,GCA_900186525.1,2415,56,,GCA_900186525.1,107
1276,GCA_900105455.1,4655,80,,GCA_900105455.1,196
1277,GCA_003815835.1,4226,115,,GCA_003815835.1,157
1278,GCA_002336225.1,1213,22,,GCA_002336225.1,54
1279,GCA_000737705.1,4393,95,,GCA_000737705.1,179
1280,GCA_003812605.1,4360,95,,GCA_003812605.1,194
1281,GCA_007993795.1,3134,88,,GCA_007993795.1,142
1282,GCA_001077795.1,2053,38,,GCA_001077795.1,86
1283,GCA_002023235.2,3805,115,,GCA_002023235.2,165
1284,GCA_009363055.1,2832,46,,GCA_009363055.1,100
1285,GCA_902705555.1,3088,38,,GCA_902705555.1,122
1286,GCA_000192225.1,2335,44,,GCA_000192225.1,87
1287,GCA_002453775.1,3263,70,,GCA_002453775.1,150
1288,GCA_013373635.1,2234,53,,GCA_013373635.1,101
1289,GCA_000766795.1,3448,106,,GCA_000766795.1,131
1290,GCA_010078225.1,2730,66,,GCA_010078225.1,114
1291,GCA_900239455.1,2359,27,,GCA_900239455.1,100
1292,GCA_001899155.1,3484,64,,GCA_001899155.1,143
1293,GCA_010119235.1,3044,58,,GCA_010119235.1,121
1294,GCA_009711135.1,4464,212,,GCA_009711135.1,203
1295,GCA_000745775.1,4527,217,,GCA_000745775.1,194
1296,GCA_004151365.1,2963,79,,GCA_004151365.1,126
1297,GCA_002711185.1,1709,33,,GCA_002711185.1,71
1298,GCA_002323395.1,3703,119,,GCA_002323395.1,135
1299,GCA_002719535.1,3123,64,,GCA_002719535.1,108
1300,GCA_008501705.1,2854,64,,GCA_008501705.1,127
1301,GCA_900106645.1,3353,89,,GCA_900106645.1,137
1302,GCA_006381105.1,3572,246,,GCA_006381105.1,96
1303,GCA_002430545.1,1234,29,,GCA_002430545.1,59
1304,GCA_013389455.1,3508,49,,GCA_013389455.1,135
1305,GCA_003248755.1,3519,91,,GCA_003248755.1,161
1306,GCA_002379725.1,3414,69,,GCA_002379725.1,142
1307,GCA_000318275.2,2469,56,,GCA_000318275.2,77
1308,GCA_002269385.1,4179,114,,GCA_002269385.1,187
1309,GCA_900114045.1,2190,60,,GCA_900114045.1,99
1310,GCA_005503635.1,4486,109,,GCA_005503635.1,201
1311,GCA_003860605.1,3212,56,,GCA_003860605.1,116
1312,GCA_003816015.1,2660,47,,GCA_003816015.1,102
1313,GCA_000801715.1,2170,54,,GCA_000801715.1,103
1314,GCA_003860505.1,2289,48,,GCA_003860505.1,101
1315,GCA_002789175.1,2783,80,,GCA_002789175.1,112
1316,GCA_007109265.1,3393,197,,GCA_007109265.1,117
1317,GCA_900143115.1,2803,90,,GCA_900143115.1,113
1318,GCA_009886255.1,1548,26,,GCA_009886255.1,76
1319,GCA_900099815.1,2657,55,,GCA_900099815.1,121
1320,GCA_003254625.1,4646,217,,GCA_003254625.1,189
1321,GCA_000220525.2,2842,155,,GCA_000220525.2,82
1322,GCA_014197445.1,2353,35,,GCA_014197445.1,102
1323,GCA_004352915.1,4414,245,,GCA_004352915.1,184
1324,GCA_001705175.1,4281,234,,GCA_001705175.1,168
1325,GCA_008370685.1,5634,173,,GCA_008370685.1,230
1326,GCA_003384775.1,3488,124,,GCA_003384775.1,148
1327,GCA_001873065.1,2701,84,,GCA_001873065.1,108
1328,GCA_009993445.1,2538,74,,GCA_009993445.1,102
1329,GCA_003450275.1,7961,48,,GCA_003450275.1,103
1330,GCA_000947275.1,2546,66,,GCA_000947275.1,88
1331,GCA_014207835.1,4361,109,,GCA_014207835.1,202
1332,GCA_009709615.1,3099,83,,GCA_009709615.1,149
1333,GCA_000755285.1,3487,69,,GCA_000755285.1,116
1334,GCA_003970335.1,3093,73,,GCA_003970335.1,137
1335,GCA_002862705.1,1496,36,,GCA_002862705.1,66
1336,GCA_001971785.1,3259,140,,GCA_001971785.1,122
1337,GCA_002280395.1,2276,97,,GCA_002280395.1,87
1338,GCA_002150245.1,2449,56,,GCA_002150245.1,108
1339,GCA_011601205.1,3870,103,,GCA_011601205.1,175
1340,GCA_001485415.1,3749,36,,GCA_001485415.1,139
1341,GCA_002695545.1,3919,115,,GCA_002695545.1,131
1342,GCA_003259265.1,3848,103,,GCA_003259265.1,170
1343,GCA_000708615.2,3933,120,,GCA_000708615.2,163
1344,GCA_007097285.1,3528,119,,GCA_007097285.1,138
1345,GCA_900115875.1,4035,152,,GCA_900115875.1,146
1346,GCA_014220855.1,3854,108,,GCA_014220855.1,157
1347,GCA_009900745.1,4817,92,,GCA_009900745.1,213
1348,GCA_001618545.2,3560,104,,GCA_001618545.2,160
1349,GCA_012273135.1,4295,95,,GCA_012273135.1,192
1350,GCA_003333325.1,2564,49,,GCA_003333325.1,123
1351,GCA_013404005.1,4161,148,,GCA_013404005.1,160
1352,GCA_900148835.1,2662,49,,GCA_900148835.1,109
1353,GCA_014486695.1,2572,72,,GCA_014486695.1,122
1354,GCA_002813135.1,2759,58,,GCA_002813135.1,130
1355,GCA_902705495.1,2991,42,,GCA_902705495.1,116
1356,GCA_002886045.1,4650,214,,GCA_002886045.1,166
1357,GCA_002435045.1,1230,27,,GCA_002435045.1,60
1358,GCA_000429125.1,3622,62,,GCA_000429125.1,167
1359,GCA_000240095.3,3778,107,,GCA_000240095.3,164
1360,GCA_002323495.1,3048,78,,GCA_002323495.1,122
1361,GCA_003232155.1,1805,30,,GCA_003232155.1,80
1362,GCA_001932675.1,3616,160,,GCA_001932675.1,137
1363,GCA_003097655.1,3466,93,,GCA_003097655.1,152
1364,GCA_003382275.1,3738,94,,GCA_003382275.1,163
1365,GCA_900156965.1,3614,106,,GCA_900156965.1,153
1366,GCA_003634775.1,3428,100,,GCA_003634775.1,151
1367,GCA_002217445.1,4414,112,,GCA_002217445.1,179
1368,GCA_011392075.1,2546,57,,GCA_011392075.1,96
1369,GCA_004791695.1,4151,169,,GCA_004791695.1,149
1370,GCA_002557775.1,4050,113,,GCA_002557775.1,188
1371,GCA_007997135.1,3045,56,,GCA_007997135.1,137
1372,GCA_003482965.1,1965,34,,GCA_003482965.1,89
1373,GCA_002900095.1,3415,97,,GCA_002900095.1,144
1374,GCA_002690085.1,1316,41,,GCA_002690085.1,44
1375,GCA_002023145.1,3697,112,,GCA_002023145.1,165
1376,GCA_014219245.1,3741,107,,GCA_014219245.1,153
1377,GCA_003447055.1,3305,77,,GCA_003447055.1,122
1378,GCA_001057035.1,2086,79,,GCA_001057035.1,81
1379,GCA_000430025.1,2720,46,,GCA_000430025.1,101
1380,GCA_012038135.1,3291,101,,GCA_012038135.1,135
