,sample_attribute
158,"strain: S27 || isolation_source: surface of Austrian artisanal cheeses || collection_date: March-2014 || geo_loc_name: Austria: Vorarlberg || sample_type: culture || lat_lon: 47.20 N 9.69 E || BioSampleModel: Microbe, viral or environmental"
159,strain: ES.050 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: 36.8100 N 121.7900 W || num_replicons: missing || ref_biomaterial: missing || BioSampleModel: MIGS.ba
160,collection_date: not collected || env_material: missing || env_biome: missing || geo_loc_name: missing || ref_biomaterial: missing || strain: Mar_2010_11 || num_replicons: missing || lat_lon: missing || env_feature: missing || isol_growth_condt: missing || BioSampleModel: MIGS.ba
161,strain: Mar_2009_75 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
162,
163,strain: RHA_19 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || BioSampleModel: MIGS.ba
164,
165,
166,
167,
168,
169,
170,
171,
172,collection_date: not collected || env_material: missing || env_biome: missing || geo_loc_name: missing || ref_biomaterial: missing || strain: Mar_2010_214 || num_replicons: missing || lat_lon: missing || env_feature: missing || isol_growth_condt: missing || BioSampleModel: MIGS.ba
173,strain: IP-10 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium lindanitolerans || BioSampleModel: MIGS.ba
174,env_feature: missing || env_material: missing || num_replicons: missing || lat_lon: 54.1841 N 7.9000 E || strain: Hel1_33_96 || collection_date: not collected || isol_growth_condt: missing || geo_loc_name: missing || ref_biomaterial: missing || env_biome: missing || BioSampleModel: MIGS.ba
175,"strain: DSM 23404 || host: Strongylocentrotus intermedius || isolation_source: Sea of Japan || collection_date: 2004 || geo_loc_name: Russia: Sea of Japan || sample_type: Whole organism || biomaterial_provider: DSMZ || culture-collection: DSM:23404 || type-material: type strain of Salegentibacter mishustinae || BioSampleModel: Microbe, viral or environmental"
176,geo_loc_name: South Korea: Pohang || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium croceum DSM 17960 || isol_growth_condt: missing || biome: missing || strain: DSM 17960 || culture_collection: DSM:17960 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Flavobacterium croceum || BioSampleModel: MIGS.ba
177,"strain: DSM 16809 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: United Kingdom: Hope Cove, Devon || lat_lon: 50.2463 N 3.8600 W || isolation_source: missing || culture-collection: DSM:16809 || type-material: type strain of Nonlabens xylanidelens || BioSampleModel: MIGS.ba"
178,FDA CVM ID: CVM 43418 || strain: DSM 17126 || collected_by: missing || collection_date: missing || geo_loc_name: Japan || isolation_source: lactc acid beverage || lat_lon: missing || culture-collection: DSM:17126 || type-material: type strain of Chryseobacterium shigense || BioSampleModel: Pathogen.env
179,FDA CVM ID: CVM 43419 || strain: DSM 21068 || collected_by: missing || collection_date: missing || geo_loc_name: Chile:Osorno || isolation_source: Salmo salar || lat_lon: missing || culture-collection: DSM:21068 || type-material: type strain of Chryseobacterium piscicola || BioSampleModel: Pathogen.env
180,geo_loc_name: USA:DC || collected_by: Children's National Hospital || isolation_source: endotracheal aspirate || collection_date: 13-Jan-2014 || strain: FDAARGOS_132 || lat_lon: Not Applicable || strain_name_alias: FDAARGOS_132 || identification method: phenotypic identification || host_sex: male || host_disease: Trachitis || host_age: 1mo || host: Homo sapiens || culture_collection: FDA:FDAARGOS_132 || isolate: Not Applicable || host_disease_outcome: Missing || host_health_state: Missing || host_description: Missing || host_disease_stage: Missing || BioSampleModel: Pathogen.cl
181,geo_loc_name: USA:DC || collected_by: Children's National Hospital || isolation_source: endotracheal aspirate || collection_date: 23-Jan-2014 || strain: FDAARGOS_134 || lat_lon: Not Applicable || strain_name_alias: FDAARGOS_134 || identification method: phenotypic identification || host_sex: male || host_disease: Trachitis || host_age: 1M || host: Homo sapiens || culture_collection: FDA:FDAARGOS_134 || isolate: Not Applicable || host_disease_outcome: Missing || host_health_state: Missing || host_description: Missing || host_disease_stage: Missing || BioSampleModel: Pathogen.cl
182,
183,"collection_date: not applicable || geo_loc_name: Germany: Kiel || strain: MYb7 || host: Caenorhabditis elegans MY316 || sample_type: Whole organism || isolation_source: Rotting apple || isolate: not applicable || BioSampleModel: Microbe, viral or environmental"
184,"collection_date: not applicable || geo_loc_name: Germany: Kiel || strain: MYb44 || host: Caenorhabditis elegans MY316 || sample_type: Whole organism || isolation_source: Rotting apple || isolate: not applicable || BioSampleModel: Microbe, viral or environmental"
185,"collection_date: not applicable || geo_loc_name: Germany: Kiel || strain: MYb25 || host: Caenorhabditis elegans MY316 || sample_type: Whole organism || isolation_source: Rotting apple || isolate: not applicable || BioSampleModel: Microbe, viral or environmental"
186,strain: DSM 25027 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:25027 || type-material: type strain of Muricauda pacifica || BioSampleModel: MIGS.ba
187,"strain: DSM 22727 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: France: Bretagne, Pleubian || lat_lon: 48.8445 N 3.1331 W || isolation_source: missing || culture-collection: DSM:22727 || type-material: type strain of Nonlabens ulvanivorans || BioSampleModel: MIGS.ba"
188,strain: DSM 5424 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:5424 || type-material: type strain of Salegentibacter salegens || BioSampleModel: MIGS.ba
189,strain: DSM 17797 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
190,
191,
192,strain: DSM 23082 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:23082 || type-material: type strain of Gramella gaetbulicola || BioSampleModel: MIGS.ba
193,strain: DSM 25731 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:25731 || type-material: type strain of Kordia periserrulae || BioSampleModel: MIGS.ba
194,
195,
196,
197,strain: DSM 24704 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:24704 || type-material: type strain of Flavobacterium araucananum || BioSampleModel: MIGS.ba
198,"strain: DSM 22637 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea:Republic of Korea, Jeju, coastal area || lat_lon: 33.51 N 126.52 E || isolation_source: missing || culture-collection: DSM:22637 || type-material: type strain of Formosa spongicola || BioSampleModel: MIGS.ba"
199,strain: DSM 23514 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:23514 || type-material: type strain of Maribacter polysiphoniae || BioSampleModel: MIGS.ba
200,
201,
202,
203,
204,strain: CECT 7945 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Winogradskyella epiphytica || BioSampleModel: MIGS.ba
205,
206,strain: DSM 15361 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:15361 || type-material: type strain of Mesonia algae || BioSampleModel: MIGS.ba
207,strain: DSM 17205 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:17205 || type-material: type strain of Nonlabens dokdonensis || BioSampleModel: MIGS.ba
208,strain: DSM 23404 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:23404 || type-material: type strain of Salegentibacter mishustinae || BioSampleModel: MIGS.ba
209,strain: DSM 12408 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:12408 || type-material: type strain of Gelidibacter algens || BioSampleModel: MIGS.ba
210,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Arenibacter echinorum || isol_growth_condt: missing || biome: missing || strain: DSM 23522 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || culture-collection: DSM:23522 || type-material: type strain of Arenibacter echinorum || BioSampleModel: MIGS.ba
211,strain: DSM 24464 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:24464 || type-material: type strain of Olleya aquimaris || BioSampleModel: MIGS.ba
212,strain: CGMCC 1.12398 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium aquaticum || BioSampleModel: MIGS.ba
213,strain: CGMCC 1.12504 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium lacus || BioSampleModel: MIGS.ba
214,strain: DSM 25663 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:25663 || type-material: type strain of Flavobacterium aciduliphilum || BioSampleModel: MIGS.ba
215,
216,
217,
218,
219,
220,strain: 325-5 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Lutibacter oceani || BioSampleModel: MIGS.ba
221,
222,
223,strain: DSM 25795 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:25795 || type-material: type strain of Flavobacterium cutihirudinis || BioSampleModel: MIGS.ba
224,
225,
226,
227,
228,
229,
230,
231,strain: DSM 26283 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
232,
233,strain: DSM 27620 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
234,
235,
236,
237,
238,
239,strain: DSM 19839 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
240,
241,strain: DSM 15094 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Japan || lat_lon: missing || isolation_source: missing || culture-collection: DSM:15094 || type-material: type strain of Flavobacterium limicola || BioSampleModel: MIGS.ba
242,strain: DSM 14219 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Germany || lat_lon: missing || isolation_source: missing || culture-collection: DSM:14219 || type-material: type strain of Chryseobacterium defluvii || BioSampleModel: MIGS.ba
243,
244,
245,
246,
247,
248,
249,strain: DSM 23424 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:23424 || type-material: type strain of Ulvibacter antarcticus || BioSampleModel: MIGS.ba
250,strain: DSM 19727 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
251,strain: DSM 15235 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea || lat_lon: missing || isolation_source: missing || culture-collection: DSM:15235 || type-material: type strain of Chryseobacterium daecheongense || BioSampleModel: MIGS.ba
252,strain: DSM 15235 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea || lat_lon: missing || isolation_source: missing || culture-collection: DSM:15235 || type-material: type strain of Chryseobacterium daecheongense || BioSampleModel: MIGS.ba
253,strain: DSM 16927 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:16927 || type-material: type strain of Chryseobacterium joostei || BioSampleModel: MIGS.ba
254,strain: DSM 16927 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:16927 || type-material: type strain of Chryseobacterium joostei || BioSampleModel: MIGS.ba
255,strain: ATCC 27950 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
256,strain: ATCC 27950 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
257,
258,
259,strain: DSM 25687 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
260,
261,
262,
263,
264,
265,
266,strain: DSM 28135 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
267,strain: CGMCC 1.12802 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium xixisoli || BioSampleModel: MIGS.ba
268,strain: CGMCC 1.10957 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
269,
270,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Gramella sp. Hel_I_59 || isol_growth_condt: missing || biome: missing || strain: Hel_I_59 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
271,sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN181 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS1-1804 || ref_biomaterial: missing || strain: NNS1-1804 || BioSampleModel: MIGS.ba
272,sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN182 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS2-1804 || ref_biomaterial: missing || strain: NNS2-1804 || BioSampleModel: MIGS.ba
273,sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN184 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS4-1804 || ref_biomaterial: missing || strain: NNS4-1804 || BioSampleModel: MIGS.ba
274,sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN185 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS5-1804 || ref_biomaterial: missing || strain: NNS5-1804 || BioSampleModel: MIGS.ba
275,sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN186 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS6-1804 || ref_biomaterial: missing || strain: NNS6-1804 || BioSampleModel: MIGS.ba
276,sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN187 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS7-1804 || ref_biomaterial: missing || strain: NNS7-1804 || BioSampleModel: MIGS.ba
277,sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2017-06-08 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Kagami River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPKKA176 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain KKAC-1706 || ref_biomaterial: missing || strain: KKAC-1706 || BioSampleModel: MIGS.ba
278,sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2017-06-12 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Kagami River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPKKO176 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain KKOK-1706 || ref_biomaterial: missing || strain: KKOK-1706 || BioSampleModel: MIGS.ba
279,sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2017-05-22 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Kagami River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPKHI175 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain KHIR-1705 || ref_biomaterial: missing || strain: KHIR-1705 || BioSampleModel: MIGS.ba
280,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Arenibacter palladensis MAR_2009_79 || isol_growth_condt: missing || biome: missing || strain: MAR_2009_79 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
281,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Cellulophaga sp. RHA_52 || isol_growth_condt: missing || biome: missing || strain: RHA_52 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
282,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Maribacter sp. MAR_2009_72 || isol_growth_condt: missing || biome: missing || strain: MAR_2009_72 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
283,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Gillisia sp. Hel_I_86 || isol_growth_condt: missing || biome: missing || strain: Hel_I_86 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
284,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Dokdonia sp. Hel_I_63 || isol_growth_condt: missing || biome: missing || strain: Hel_I_63 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
285,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Olleya sp. Hel_I_94 || isol_growth_condt: missing || biome: missing || strain: Hel_I_94 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
286,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacteriaceae bacterium Mar_2010_105 || isol_growth_condt: missing || biome: missing || strain: Mar_2010_105 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
287,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Lutibacter sp. Hel_I_33_5 || isol_growth_condt: missing || biome: missing || strain: Hel_I_33_5 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
288,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Dokdonia sp. Hel1_53 || isol_growth_condt: missing || biome: missing || strain: Hel1_53 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
289,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium tiangeerense CGMCC 1.6847 || isol_growth_condt: missing || biome: missing || strain: CGMCC 1.6847 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Flavobacterium tiangeerense || BioSampleModel: MIGS.ba
290,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium cauense CGMCC 1.7270 || isol_growth_condt: missing || biome: missing || strain: CGMCC 1.7270 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Flavobacterium cauense || BioSampleModel: MIGS.ba
291,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium cheniae CGMCC 1.6844 || isol_growth_condt: missing || biome: missing || strain: CGMCC 1.6844 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Flavobacterium cheniae || BioSampleModel: MIGS.ba
292,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Myroides odoratimimus ATCC BAA-634 || isol_growth_condt: missing || biome: missing || strain: ATCC BAA-634 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || culture-collection: ATCC:BAA-634 || BioSampleModel: MIGS.ba
293,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium glaciei CGMCC 1.5380 || isol_growth_condt: missing || biome: missing || strain: CGMCC 1.5380 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Flavobacterium glaciei || BioSampleModel: MIGS.ba
294,"strain: BCLYD2 || host: Brassica rapa subsp. oleifera || collection_date: 2014-08-09 || geo_loc_name: China || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
295,"strain: Sr18 || geo_loc_name: China: Xinjiang No.1 glacier || altitude: 3457 m || isolate: missing || collection_date: 2009 || identified_by: Qing Liu || culture_collection: CGMCC: 1.9225 || sample_type: glacier || host: missing || lat_lon: 43.155 N 87.002 E || isolation_source: glacier || collected_by: Yu-Hua Xin || BioSampleModel: Microbe, viral or environmental"
296,strain: DSM 23313 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: China: Qingdao || lat_lon: 36.09 N 120.33 E || isolation_source: missing || type-material: type strain of Myroides phaeus || BioSampleModel: MIGS.ba
297,strain: DSM 17071 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium taeanense || BioSampleModel: MIGS.ba
298,strain: DSM 19803 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Psychroflexus sediminis || BioSampleModel: MIGS.ba
299,strain: CGMCC 1.2747 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || BioSampleModel: MIGS.ba
300,strain: DSM 15363 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Winogradskyella thalassocola || BioSampleModel: MIGS.ba
