Genome,BGC_full,Similarity2
GCA_004791695.1,GCA_004791695.1_contig011.region001,0.77
GCA_003315315.1,GCA_003315315.1_contig01.region001,0.77
GCA_003337215.1,GCA_003337215.1_contig11.region001,0.77
GCA_003813905.1,GCA_003813905.1_contig082.region001,0.77
GCA_000735135.1,GCA_000735135.1_contig01.region001,0.77
GCA_003610695.1,GCA_003610695.1_contig01.region001,0.77
GCA_902729325.1,GCA_902729325.1_contig035.region001,0.77
GCA_003385395.1,GCA_003385395.1_contig012.region001,0.77
GCA_007991455.1,GCA_007991455.1_contig005.region001,0.77
GCA_000520995.1,GCA_000520995.1_contig042.region002,0.77
GCA_000626715.1,GCA_000626715.1_contig05.region002,0.77
GCA_900299475.1,GCA_900299475.1_contig144.region001,0.77
GCA_900299485.1,GCA_900299485.1_contig18.region001,0.77
GCA_900299525.1,GCA_900299525.1_contig19.region001,0.77
GCA_900312745.1,GCA_900312745.1_contig10.region002,0.77
GCA_900624725.1,GCA_900624725.1_contig008.region001,0.77
GCA_004010215.1,GCA_004010215.1_contig1.region003,0.77
GCA_900290975.1,GCA_900290975.1_contig068.region001,0.77
GCA_003259835.1,GCA_003259835.1_contig01.region001,0.8
GCA_900142035.1,GCA_900142035.1_contig14.region001,0.8
GCA_900156075.1,GCA_900156075.1_contig36.region001,0.8
GCA_003076475.1,GCA_003076475.1_contig1.region002,0.8
GCA_003259835.1,GCA_003259835.1_contig01.region001,0.8
GCA_003350375.1,GCA_003350375.1_contig14.region001,0.8
GCA_004959765.1,GCA_004959765.1_contig43.region001,0.8
GCA_011305415.1,GCA_011305415.1_contig01.region002,0.8
GCA_014305205.1,GCA_014305205.1_contig01.region002,0.8
GCA_900100625.1,GCA_900100625.1_contig19.region002,0.8
GCA_000211855.3,GCA_000211855.3_contig1.region002,0.8
GCA_000498515.1,GCA_000498515.1_contig02.region001,0.8
GCA_013184525.1,GCA_013184525.1_contig04.region001,0.8
GCA_012911565.1,GCA_012911565.1_contig102.region001,0.8
GCA_014379405.1,GCA_014379405.1_contig09.region001,0.83
GCA_013294005.1,GCA_013294005.1_contig02.region001,0.83
GCA_013294075.1,GCA_013294075.1_contig06.region001,0.83
GCA_000255455.1,GCA_000255455.1_contig19.region001,0.83
GCA_000430645.1,GCA_000430645.1_contig01.region002,0.83
GCA_000520955.1,GCA_000520955.1_contig006.region001,0.83
GCA_001747085.1,GCA_001747085.1_contig54.region001,0.83
GCA_003443675.1,GCA_003443675.1_contig1.region006,0.83
GCA_003443695.1,GCA_003443695.1_contig1.region006,0.83
GCA_003626845.1,GCA_003626845.1_contig095.region001,0.83
GCA_003626865.1,GCA_003626865.1_contig002.region001,0.83
GCA_900109375.1,GCA_900109375.1_contig09.region001,0.83
GCA_900299505.1,GCA_900299505.1_contig02.region001,0.83
GCA_002001005.1,GCA_002001005.1_contig082.region001,0.83
GCA_002352205.1,GCA_002352205.1_contig08.region001,0.83
GCA_002797935.1,GCA_002797935.1_contig1.region001,0.83
GCA_003096795.1,GCA_003096795.1_contig1.region001,0.83
GCA_003254745.1,GCA_003254745.1_contig32.region001,0.83
GCA_003268855.1,GCA_003268855.1_contig07.region001,0.83
GCA_004122145.1,GCA_004122145.1_contig62.region001,0.83
GCA_004295795.1,GCA_004295795.1_contig45.region001,0.83
GCA_004349155.1,GCA_004349155.1_contig01.region001,0.83
GCA_004349315.1,GCA_004349315.1_contig01.region002,0.83
GCA_004745595.1,GCA_004745595.1_contig07.region002,0.83
GCA_007109225.1,GCA_007109225.1_contig11.region001,0.83
GCA_008000935.1,GCA_008000935.1_contig1.region001,0.83
GCA_009495755.1,GCA_009495755.1_contig05.region001,0.83
GCA_012932585.1,GCA_012932585.1_contig10.region001,0.83
GCA_013284035.1,GCA_013284035.1_contig1.region001,0.83
GCA_014305155.1,GCA_014305155.1_contig097.region001,0.83
GCA_014305175.1,GCA_014305175.1_contig099.region001,0.83
GCA_014379405.1,GCA_014379405.1_contig09.region001,0.83
GCA_006443095.1,GCA_006443095.1_contig12.region001,0.83
GCA_000498475.1,GCA_000498475.1_contig14.region001,0.83
GCA_000498495.1,GCA_000498495.1_contig08.region001,0.83
GCA_000769815.1,GCA_000769815.1_contig01.region001,0.83
GCA_000769895.1,GCA_000769895.1_contig44.region001,0.83
GCA_007830385.1,GCA_007830385.1_contig07.region001,0.83
GCA_900141785.1,GCA_900141785.1_contig06.region001,0.83
GCA_000769445.1,GCA_000769445.1_contig10.region001,0.83
GCA_000955665.1,GCA_000955665.1_contig1.region001,0.83
GCA_001483145.1,GCA_001483145.1_contig19.region001,0.83
GCA_001521735.1,GCA_001521735.1_contig01.region001,0.83
GCA_001521745.1,GCA_001521745.1_contig01.region002,0.83
GCA_001521765.1,GCA_001521765.1_contig46.region001,0.83
GCA_001867305.1,GCA_001867305.1_contig23.region001,0.83
GCA_002022125.1,GCA_002022125.1_contig1.region001,0.83
GCA_002023065.1,GCA_002023065.1_contig03.region001,0.83
GCA_002023205.1,GCA_002023205.1_contig01.region001,0.83
GCA_002023365.1,GCA_002023365.1_contig16.region001,0.83
GCA_002023385.1,GCA_002023385.1_contig07.region001,0.83
GCA_002023405.1,GCA_002023405.1_contig08.region001,0.83
GCA_002023475.1,GCA_002023475.1_contig16.region001,0.83
GCA_002023545.1,GCA_002023545.1_contig25.region001,0.83
GCA_002023575.1,GCA_002023575.1_contig14.region001,0.83
GCA_002023685.1,GCA_002023685.1_contig01.region001,0.83
GCA_002023715.1,GCA_002023715.1_contig05.region001,0.83
GCA_002023765.1,GCA_002023765.1_contig03.region001,0.83
GCA_002023775.1,GCA_002023775.1_contig06.region001,0.83
GCA_002024805.1,GCA_002024805.1_contig1.region002,0.83
GCA_002557775.1,GCA_002557775.1_contig1.region001,0.83
GCA_002738605.1,GCA_002738605.1_contig01.region001,0.83
GCA_003014895.1,GCA_003014895.1_contig34.region001,0.83
GCA_003053575.1,GCA_003053575.1_contig07.region001,0.83
GCA_003058195.1,GCA_003058195.1_contig02.region001,0.83
GCA_003298875.1,GCA_003298875.1_contig02.region001,0.83
GCA_005234115.1,GCA_005234115.1_contig1.region004,0.83
GCA_005844065.1,GCA_005844065.1_contig1.region001,0.83
GCA_009938095.1,GCA_009938095.1_contig1.region001,0.83
GCA_011601185.1,GCA_011601185.1_contig329.region001,0.83
GCA_011601205.1,GCA_011601205.1_contig014.region001,0.83
GCA_011601245.1,GCA_011601245.1_contig324.region001,0.83
GCA_900157015.1,GCA_900157015.1_contig05.region001,0.83
GCA_900157035.1,GCA_900157035.1_contig126.region001,0.83
GCA_001632745.1,GCA_001632745.1_contig01.region001,0.83
GCA_003443715.1,GCA_003443715.1_contig1.region008,0.83
GCA_003626835.1,GCA_003626835.1_contig04.region001,0.83
GCA_008370685.1,GCA_008370685.1_contig057.region001,0.83
GCA_000422725.1,GCA_000422725.1_contig15.region001,0.86
GCA_000430025.1,GCA_000430025.1_contig06.region001,0.86
GCA_000739395.1,GCA_000739395.1_contig1.region002,0.86
GCA_000754405.1,GCA_000754405.1_contig1.region002,0.86
GCA_000767095.1,GCA_000767095.1_contig1.region002,0.86
GCA_000801625.1,GCA_000801625.1_contig7.region001,0.86
GCA_000801635.1,GCA_000801635.1_contig4.region001,0.86
GCA_000801645.1,GCA_000801645.1_contig24.region001,0.86
GCA_001887145.1,GCA_001887145.1_contig31.region001,0.86
GCA_003732575.1,GCA_003732575.1_contig04.region001,0.86
GCA_003788665.1,GCA_003788665.1_contig29.region001,0.86
GCA_013343175.2,GCA_013343175.2_contig1.region002,0.86
GCA_013343195.3,GCA_013343195.3_contig1.region002,0.86
GCA_900186345.1,GCA_900186345.1_contig32.region001,0.86
GCA_900186365.1,GCA_900186365.1_contig03.region001,0.86
GCA_900186375.1,GCA_900186375.1_contig39.region001,0.86
GCA_900186395.1,GCA_900186395.1_contig43.region001,0.86
GCA_900186405.1,GCA_900186405.1_contig39.region001,0.86
GCA_900186415.1,GCA_900186415.1_contig53.region001,0.86
GCA_900186425.1,GCA_900186425.1_contig07.region001,0.86
GCA_900186435.1,GCA_900186435.1_contig26.region001,0.86
GCA_900186445.1,GCA_900186445.1_contig37.region001,0.86
GCA_900186475.1,GCA_900186475.1_contig053.region001,0.86
GCA_900186485.1,GCA_900186485.1_contig077.region001,0.86
GCA_900186495.1,GCA_900186495.1_contig204.region001,0.86
GCA_900186525.1,GCA_900186525.1_contig06.region001,0.86
GCA_900186545.1,GCA_900186545.1_contig37.region001,0.86
GCA_900186555.1,GCA_900186555.1_contig021.region001,0.86
GCA_900186565.1,GCA_900186565.1_contig02.region001,0.86
GCA_900186665.1,GCA_900186665.1_contig07.region001,0.86
GCA_900186685.1,GCA_900186685.1_contig24.region001,0.86
GCA_900186755.1,GCA_900186755.1_contig22.region001,0.86
GCA_900186785.1,GCA_900186785.1_contig42.region001,0.86
GCA_900186805.1,GCA_900186805.1_contig24.region001,0.86
GCA_900186815.1,GCA_900186815.1_contig18.region001,0.86
GCA_900186825.1,GCA_900186825.1_contig30.region001,0.86
GCA_900609965.1,GCA_900609965.1_contig062.region001,0.86
GCA_900609975.1,GCA_900609975.1_contig061.region001,0.86
GCA_900609985.1,GCA_900609985.1_contig28.region001,0.86
GCA_900609995.1,GCA_900609995.1_contig20.region001,0.86
GCA_900610015.1,GCA_900610015.1_contig067.region001,0.86
GCA_900610025.1,GCA_900610025.1_contig089.region001,0.86
GCA_900610035.1,GCA_900610035.1_contig173.region001,0.86
GCA_900610045.1,GCA_900610045.1_contig046.region001,0.86
GCA_900610055.1,GCA_900610055.1_contig093.region001,0.86
GCA_900610065.1,GCA_900610065.1_contig68.region001,0.86
GCA_900610075.1,GCA_900610075.1_contig073.region001,0.86
GCA_900610085.1,GCA_900610085.1_contig076.region001,0.86
GCA_900610095.1,GCA_900610095.1_contig051.region001,0.86
GCA_900610105.1,GCA_900610105.1_contig41.region001,0.86
GCA_900610115.1,GCA_900610115.1_contig079.region001,0.86
GCA_900610125.1,GCA_900610125.1_contig059.region001,0.86
GCA_900610135.1,GCA_900610135.1_contig007.region001,0.86
GCA_900610145.1,GCA_900610145.1_contig045.region001,0.86
GCA_900610155.1,GCA_900610155.1_contig039.region001,0.86
GCA_900610165.1,GCA_900610165.1_contig35.region001,0.86
GCA_900610175.1,GCA_900610175.1_contig54.region001,0.86
GCA_900610185.1,GCA_900610185.1_contig46.region001,0.86
GCA_900610195.1,GCA_900610195.1_contig127.region001,0.86
GCA_900610205.1,GCA_900610205.1_contig087.region001,0.86
GCA_900610215.1,GCA_900610215.1_contig26.region001,0.86
GCA_900610225.1,GCA_900610225.1_contig043.region001,0.86
GCA_900610245.1,GCA_900610245.1_contig066.region001,0.86
GCA_900610265.1,GCA_900610265.1_contig033.region001,0.86
GCA_900610275.1,GCA_900610275.1_contig055.region001,0.86
GCA_900610285.1,GCA_900610285.1_contig105.region001,0.86
GCA_900610295.1,GCA_900610295.1_contig057.region001,0.86
GCA_900610305.1,GCA_900610305.1_contig057.region001,0.86
GCA_900610315.1,GCA_900610315.1_contig074.region001,0.86
GCA_900610325.1,GCA_900610325.1_contig052.region001,0.86
GCA_900610335.1,GCA_900610335.1_contig20.region001,0.86
GCA_900610345.1,GCA_900610345.1_contig050.region001,0.86
GCA_900610355.1,GCA_900610355.1_contig077.region001,0.86
GCA_900610385.1,GCA_900610385.1_contig053.region001,0.86
GCA_000769935.1,GCA_000769935.1_contig15.region001,0.86
GCA_900129595.1,GCA_900129595.1_contig18.region002,0.86
GCA_000769835.1,GCA_000769835.1_contig069.region001,0.86
GCA_002217195.1,GCA_002217195.1_contig08.region001,0.86
GCA_007992475.1,GCA_007992475.1_contig01.region001,0.86
GCA_000064305.2,GCA_000064305.2_contig1.region002,0.86
GCA_000754365.1,GCA_000754365.1_contig1.region002,0.86
GCA_000831185.1,GCA_000831185.1_contig1.region002,0.86
GCA_000831205.1,GCA_000831205.1_contig1.region002,0.86
GCA_000831225.1,GCA_000831225.1_contig1.region002,0.86
GCA_000971575.2,GCA_000971575.2_contig1.region002,0.86
GCA_000971605.2,GCA_000971605.2_contig1.region002,0.86
GCA_000971645.2,GCA_000971645.2_contig1.region002,0.86
GCA_000971685.2,GCA_000971685.2_contig1.region002,0.86
GCA_000971735.2,GCA_000971735.2_contig1.region002,0.86
GCA_000971785.2,GCA_000971785.2_contig06.region002,0.86
GCA_001485515.1,GCA_001485515.1_contig016.region001,0.86
GCA_001510855.1,GCA_001510855.1_contig146.region001,0.86
GCA_001510875.1,GCA_001510875.1_contig401.region001,0.86
GCA_001887135.1,GCA_001887135.1_contig027.region001,0.86
GCA_002150145.1,GCA_002150145.1_contig16.region001,0.86
GCA_002150215.1,GCA_002150215.1_contig37.region001,0.86
GCA_002150245.1,GCA_002150245.1_contig11.region001,0.86
GCA_002150255.1,GCA_002150255.1_contig15.region001,0.86
GCA_002207815.1,GCA_002207815.1_contig014.region001,0.86
GCA_002217405.1,GCA_002217405.1_contig18.region001,0.86
GCA_003433315.1,GCA_003433315.1_contig1.region002,0.86
GCA_003433335.1,GCA_003433335.1_contig1.region002,0.86
GCA_003433355.1,GCA_003433355.1_contig1.region002,0.86
GCA_006777745.1,GCA_006777745.1_contig009.region001,0.86
GCA_006777825.1,GCA_006777825.1_contig010.region001,0.86
GCA_006777945.1,GCA_006777945.1_contig033.region001,0.86
GCA_006778065.1,GCA_006778065.1_contig049.region001,0.86
GCA_006778185.1,GCA_006778185.1_contig007.region001,0.86
GCA_006778265.1,GCA_006778265.1_contig010.region001,0.86
GCA_006778345.1,GCA_006778345.1_contig003.region001,0.86
GCA_006778465.1,GCA_006778465.1_contig014.region001,0.86
GCA_006778585.1,GCA_006778585.1_contig027.region001,0.86
GCA_009730675.1,GCA_009730675.1_contig1.region002,0.86
GCA_013426055.1,GCA_013426055.1_contig1.region002,0.86
GCA_013457195.1,GCA_013457195.1_contig1.region002,0.86
GCA_900101925.1,GCA_900101925.1_contig22.region001,0.86
GCA_900111965.1,GCA_900111965.1_contig08.region001,0.86
GCA_900130145.1,GCA_900130145.1_contig1.region002,0.86
GCA_900186385.1,GCA_900186385.1_contig61.region001,0.86
GCA_900186455.1,GCA_900186455.1_contig048.region001,0.86
GCA_900186575.1,GCA_900186575.1_contig161.region001,0.86
GCA_900186605.1,GCA_900186605.1_contig088.region001,0.86
GCA_900610255.1,GCA_900610255.1_contig049.region001,0.86
GCA_003097655.1,GCA_003097655.1_contig08.region001,0.86
GCA_003865365.1,GCA_003865365.1_contig01.region001,0.86
GCA_004028155.1,GCA_004028155.1_contig01.region001,0.86
GCA_004151245.1,GCA_004151245.1_contig04.region001,0.86
GCA_004211145.1,GCA_004211145.1_contig53.region001,0.86
GCA_007097385.1,GCA_007097385.1_contig19.region001,0.86
GCA_007341385.1,GCA_007341385.1_contig24.region001,0.86
GCA_009826935.1,GCA_009826935.1_contig01.region002,0.86
GCA_013366395.1,GCA_013366395.1_contig57.region001,0.86
GCA_013401995.1,GCA_013401995.1_contig34.region001,0.86
GCA_900100375.1,GCA_900100375.1_contig09.region001,0.86
GCA_900101895.1,GCA_900101895.1_contig48.region001,0.86
GCA_900129545.1,GCA_900129545.1_contig04.region001,0.86
GCA_014451095.1,GCA_014451095.1_contig1.region002,0.86
GCA_002222055.1,GCA_002222055.1_contig073.region001,0.88
GCA_003148525.1,GCA_003148525.1_contig01.region002,0.88
GCA_004368785.1,GCA_004368785.1_contig02.region001,0.88
GCA_000745775.1,GCA_000745775.1_contig02.region001,0.88
GCA_003208535.1,GCA_003208535.1_contig04.region001,0.88
GCA_003217415.1,GCA_003217415.1_contig04.region002,0.88
GCA_004341805.1,GCA_004341805.1_contig04.region002,0.88
GCA_009674815.1,GCA_009674815.1_contig09.region001,0.88
GCA_900182645.1,GCA_900182645.1_contig02.region001,0.88
GCA_900187965.1,GCA_900187965.1_contig16.region002,0.88
GCA_001404985.1,GCA_001404985.1_contig06.region001,0.88
GCA_001422725.1,GCA_001422725.1_contig01.region001,0.88
GCA_002217315.1,GCA_002217315.1_contig10.region001,0.88
GCA_003385895.1,GCA_003385895.1_contig02.region002,0.88
GCA_000737685.1,GCA_000737685.1_contig01.region004,0.88
GCA_000737695.1,GCA_000737695.1_contig07.region001,0.88
GCA_004362055.1,GCA_004362055.1_contig01.region001,0.88
GCA_010614725.1,GCA_010614725.1_contig30.region001,0.88
GCA_900450525.1,GCA_900450525.1_contig3.region002,0.88
GCA_002217435.1,GCA_002217435.1_contig11.region001,0.88
GCA_009826975.1,GCA_009826975.1_contig01.region001,0.88
GCA_001507425.1,GCA_001507425.1_contig05.region001,0.88
GCA_001975985.1,GCA_001975985.1_contig14.region001,0.88
GCA_002217285.1,GCA_002217285.1_contig091.region001,0.88
GCA_002217335.1,GCA_002217335.1_contig20.region001,0.88
GCA_002217365.1,GCA_002217365.1_contig08.region001,0.88
GCA_004362015.1,GCA_004362015.1_contig01.region001,0.88
GCA_009707955.1,GCA_009707955.1_contig05.region001,0.88
GCA_900142715.1,GCA_900142715.1_contig05.region002,0.88
GCA_003385115.1,GCA_003385115.1_contig01.region001,0.88
GCA_002483285.1,GCA_002483285.1_contig22.region001,0.88
GCA_000335775.1,GCA_000335775.1_contig15.region001,0.91
GCA_001427905.1,GCA_001427905.1_contig12.region001,0.91
GCA_002017935.1,GCA_002017935.1_contig01.region002,0.91
GCA_002156885.1,GCA_002156885.1_contig007.region001,0.91
GCA_002217475.1,GCA_002217475.1_contig011.region001,0.91
GCA_900142685.1,GCA_900142685.1_contig16.region001,0.91
GCA_900142735.1,GCA_900142735.1_contig07.region002,0.91
GCA_902804485.1,GCA_902804485.1_contig062.region001,0.91
GCA_001275605.1,GCA_001275605.1_contig20.region001,0.91
GCA_001428525.1,GCA_001428525.1_contig14.region001,0.91
GCA_001429765.1,GCA_001429765.1_contig05.region001,0.91
GCA_002210235.1,GCA_002210235.1_contig19.region001,0.91
GCA_002482975.1,GCA_002482975.1_contig40.region001,0.91
GCA_003070725.1,GCA_003070725.1_contig066.region001,0.91
GCA_003202405.1,GCA_003202405.1_contig27.region001,0.91
GCA_004339485.1,GCA_004339485.1_contig01.region002,0.91
GCA_004352915.1,GCA_004352915.1_contig71.region001,0.91
GCA_011751075.1,GCA_011751075.1_contig112.region003,0.91
GCA_900110335.1,GCA_900110335.1_contig06.region001,0.91
GCA_900129555.1,GCA_900129555.1_contig09.region001,0.91
GCA_903819335.1,GCA_903819335.1_contig34.region001,0.91
GCA_001602525.1,GCA_001602525.1_contig02.region001,0.91
GCA_001879205.1,GCA_001879205.1_contig09.region002,0.91
GCA_002217275.1,GCA_002217275.1_contig04.region001,0.91
GCA_002217355.1,GCA_002217355.1_contig50.region002,0.91
GCA_002754195.1,GCA_002754195.1_contig1.region008,0.91
GCA_002754275.1,GCA_002754275.1_contig1.region001,0.91
GCA_004339525.1,GCA_004339525.1_contig1.region002,0.91
GCA_008329825.1,GCA_008329825.1_contig1.region001,0.91
GCA_009711135.1,GCA_009711135.1_contig11.region001,0.91
GCA_900107365.1,GCA_900107365.1_contig18.region001,0.91
GCA_900129605.1,GCA_900129605.1_contig22.region001,0.91
GCA_900129795.1,GCA_900129795.1_contig16.region001,0.91
GCA_000425445.1,GCA_000425445.1_contig02.region001,0.91
GCA_000426145.1,GCA_000426145.1_contig04.region002,0.91
GCA_000735715.2,GCA_000735715.2_contig02.region001,0.91
GCA_000812985.1,GCA_000812985.1_contig024.region001,0.91
GCA_000813005.1,GCA_000813005.1_contig10.region001,0.91
GCA_001027725.1,GCA_001027725.1_contig04.region001,0.91
GCA_003633785.1,GCA_003633785.1_contig1.region002,0.91
GCA_003996965.1,GCA_003996965.1_contig232.region002,0.91
GCA_004119495.1,GCA_004119495.1_contig011.region001,0.91
GCA_004119505.1,GCA_004119505.1_contig16.region001,0.91
GCA_010645065.1,GCA_010645065.1_contig063.region001,0.91
GCA_010645075.1,GCA_010645075.1_contig02.region001,0.91
GCA_014204385.1,GCA_014204385.1_contig01.region001,0.91
GCA_014207905.1,GCA_014207905.1_contig01.region002,0.91
GCA_903819435.1,GCA_903819435.1_contig078.region001,0.91
GCA_903819445.1,GCA_903819445.1_contig174.region001,0.91
GCA_000278705.1,GCA_000278705.1_contig26.region002,0.91
GCA_001705175.1,GCA_001705175.1_contig1.region002,0.91
GCA_002303885.1,GCA_002303885.1_contig14.region001,0.91
GCA_003122385.1,GCA_003122385.1_contig1.region003,0.91
GCA_003254565.1,GCA_003254565.1_contig154.region001,0.91
GCA_003254625.1,GCA_003254625.1_contig57.region001,0.91
GCA_004151235.1,GCA_004151235.1_contig02.region001,0.91
GCA_004366435.1,GCA_004366435.1_contig01.region002,0.91
GCA_008369745.1,GCA_008369745.1_contig1.region002,0.91
GCA_013388355.1,GCA_013388355.1_contig1.region001,0.91
GCA_013393195.1,GCA_013393195.1_contig04.region001,0.91
GCA_900101855.1,GCA_900101855.1_contig04.region001,0.91
GCA_900112575.1,GCA_900112575.1_contig14.region002,0.91
GCA_900182675.1,GCA_900182675.1_contig02.region001,0.91
GCA_000282055.1,GCA_000282055.1_contig040.region001,0.91
GCA_000834715.1,GCA_000834715.1_contig10.region001,0.91
GCA_002217395.1,GCA_002217395.1_contig22.region001,0.91
GCA_003386855.1,GCA_003386855.1_contig01.region001,0.91
GCA_003688345.1,GCA_003688345.1_contig01.region001,0.91
GCA_004345565.1,GCA_004345565.1_contig01.region001,0.91
GCA_004369705.1,GCA_004369705.1_contig0618.region001,0.91
GCA_009674775.1,GCA_009674775.1_contig008.region001,0.91
GCA_009789235.1,GCA_009789235.1_contig12.region002,0.91
GCA_003202435.1,GCA_003202435.1_contig08.region001,0.91
GCA_006438875.1,GCA_006438875.1_contig12.region001,0.91
GCA_001853485.1,GCA_001853485.1_contig11.region001,0.94
GCA_002217445.1,GCA_002217445.1_contig12.region001,0.94
GCA_000708595.2,GCA_000708595.2_contig02.region002,0.94
GCA_002304005.1,GCA_002304005.1_contig05.region001,0.94
GCA_003590565.1,GCA_003590565.1_contig1.region001,0.94
GCA_902804475.1,GCA_902804475.1_contig103.region001,0.94
GCA_001429295.1,GCA_001429295.1_contig07.region002,0.94
GCA_001686925.1,GCA_001686925.1_contig46.region001,0.94
GCA_002222045.1,GCA_002222045.1_contig030.region001,0.94
GCA_003254545.1,GCA_003254545.1_contig36.region002,0.94
GCA_003312915.1,GCA_003312915.1_contig1.region003,0.94
GCA_003946915.1,GCA_003946915.1_contig11.region002,0.94
GCA_009664855.1,GCA_009664855.1_contig1.region005,0.94
GCA_902167265.1,GCA_902167265.1_contig1.region004,0.94
GCA_902167275.1,GCA_902167275.1_contig4.region004,0.94
GCA_902167285.2,GCA_902167285.2_contig2.region003,0.94
GCA_902168145.1,GCA_902168145.1_contig04.region002,0.94
GCA_002007065.3,GCA_002007065.3_contig1.region003,0.94
GCA_009711165.1,GCA_009711165.1_contig006.region001,0.94
GCA_003254585.1,GCA_003254585.1_contig39.region001,0.94
GCA_004634245.1,GCA_004634245.1_contig05.region001,0.94
GCA_002221975.1,GCA_002221975.1_contig23.region001,0.97
GCA_000016645.1,GCA_000016645.1_contig1.region003,0.97
GCA_003633855.1,GCA_003633855.1_contig1.region006,0.97
GCA_003688785.1,GCA_003688785.1_contig1.region003,0.97
GCA_900142355.1,GCA_900142355.1_contig10.region002,0.97
GCA_003633595.1,GCA_003633595.1_contig01.region002,0.97
GCA_001975985.1,GCA_001975985.1_contig06.region001,1
GCA_000332115.1,GCA_000332115.1_contig1.region001,1
GCA_000430665.1,GCA_000430665.1_contig009.region001,1
GCA_000744275.1,GCA_000744275.1_contig2.region001,1
GCA_001401755.1,GCA_001401755.1_contig05.region001,1
GCA_001422725.1,GCA_001422725.1_contig10.region001,1
GCA_001507425.1,GCA_001507425.1_contig52.region001,1
GCA_001853485.1,GCA_001853485.1_contig14.region001,1
GCA_001936575.1,GCA_001936575.1_contig081.region001,1
GCA_002217285.1,GCA_002217285.1_contig021.region001,1
GCA_000335775.1,GCA_000335775.1_contig12.region001,1
GCA_003148525.1,GCA_003148525.1_contig32.region001,1
GCA_003148525.1,GCA_003148525.1_contig33.region001,1
GCA_003254015.1,GCA_003254015.1_contig19.region001,1
GCA_003709475.1,GCA_003709475.1_contig09.region001,1
GCA_003729935.1,GCA_003729935.1_contig18.region001,1
GCA_900142785.1,GCA_900142785.1_contig14.region001,1
GCA_004959765.1,GCA_004959765.1_contig44.region001,1
GCA_007097385.1,GCA_007097385.1_contig56.region001,1
GCA_001632745.1,GCA_001632745.1_contig04.region001,1
GCA_003443715.1,GCA_003443715.1_contig1.region001,1
GCA_003626835.1,GCA_003626835.1_contig48.region001,1
GCA_013214625.1,GCA_013214625.1_contig245.region001,1
GCA_013215095.1,GCA_013215095.1_contig114.region001,1
GCA_013365535.1,GCA_013365535.1_contig1.region001,1
GCA_013373485.1,GCA_013373485.1_contig62.region001,1
GCA_014204415.1,GCA_014204415.1_contig11.region001,1
GCA_900142785.1,GCA_900142785.1_contig43.region001,1
GCA_900182645.1,GCA_900182645.1_contig09.region001,1
GCA_900182675.1,GCA_900182675.1_contig17.region001,1
GCA_900182675.1,GCA_900182675.1_contig25.region001,1
GCA_900187965.1,GCA_900187965.1_contig08.region001,1
GCA_902167265.1,GCA_902167265.1_contig2.region001,1
GCA_902728265.1,GCA_902728265.1_contig085.region001,1
GCA_902728265.1,GCA_902728265.1_contig093.region001,1
GCA_902804485.1,GCA_902804485.1_contig015.region001,1
GCA_902804485.1,GCA_902804485.1_contig021.region001,1
GCA_000332115.1,GCA_000332115.1_contig1.region001,1
GCA_002217285.1,GCA_002217285.1_contig021.region001,1
GCA_013373485.1,GCA_013373485.1_contig62.region001,1
GCA_000218485.2,GCA_000218485.2_contig116.region001,1
GCA_000332115.1,GCA_000332115.1_contig1.region001,1
GCA_013365535.1,GCA_013365535.1_contig1.region001,1
GCA_013373485.1,GCA_013373485.1_contig62.region001,1
GCA_002217285.1,GCA_002217285.1_contig021.region001,1
GCA_001027945.1,GCA_001027945.1_contig01.region001,1
GCA_001641405.1,GCA_001641405.1_contig070.region001,1
GCA_001936575.1,GCA_001936575.1_contig081.region002,1
GCA_002700005.1,GCA_002700005.1_contig0643.region002,1
GCA_002836595.1,GCA_002836595.1_contig1.region002,1
GCA_003318185.1,GCA_003318185.1_contig11.region002,1
GCA_003387615.1,GCA_003387615.1_contig01.region002,1
GCA_003664185.1,GCA_003664185.1_contig02.region001,1
GCA_003852675.1,GCA_003852675.1_contig11.region001,1
GCA_003937815.1,GCA_003937815.1_contig16.region001,1
GCA_004337695.1,GCA_004337695.1_contig008.region001,1
GCA_004363005.1,GCA_004363005.1_contig02.region001,1
GCA_009362255.1,GCA_009362255.1_contig1.region002,1
GCA_011952225.1,GCA_011952225.1_contig1.region002,1
GCA_013373485.1,GCA_013373485.1_contig74.region001,1
GCA_900105455.1,GCA_900105455.1_contig8.region003,1
GCA_900105985.1,GCA_900105985.1_contig1.region005,1
GCA_900129475.1,GCA_900129475.1_contig12.region003,1
GCA_900198195.1,GCA_900198195.1_contig1.region002,1
GCA_000218485.2,GCA_000218485.2_contig116.region001,1
GCA_002733415.1,GCA_002733415.1_contig93.region002,1
GCA_900142785.1,GCA_900142785.1_contig14.region001,1
GCA_013365535.1,GCA_013365535.1_contig1.region001,1
GCA_000430545.1,GCA_000430545.1_contig13.region001,1
GCA_000509405.1,GCA_000509405.1_contig155.region001,1
GCA_002813915.1,GCA_002813915.1_contig1.region003,1
GCA_003867015.1,GCA_003867015.1_contig1.region003,1
GCA_003867075.1,GCA_003867075.1_contig1.region002,1
GCA_004762155.1,GCA_004762155.1_contig11.region001,1
GCA_004803875.1,GCA_004803875.1_contig1.region002,1
GCA_008806755.1,GCA_008806755.1_contig24.region002,1
GCA_900119795.1,GCA_900119795.1_contig1.region001,1
